id,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season,Team
6,Rodrigo De Paul,ar ARG,MF,29-348,30,22,1791.0,19.9,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,4.7,6.4,60.0,178.0,47.0,0.1,0.2,0.3,0.1,0.3,0.08,0.24,0.32,0.08,0.32,Matches,2024,Atletico Madrid
7,Samuel Lino,br BRA,"DF,MF",24-135,30,21,1832.0,20.4,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,3.7,3.7,3.8,7.5,117.0,74.0,192.0,0.15,0.1,0.25,0.15,0.25,0.18,0.18,0.37,0.18,0.37,Matches,2024,Atletico Madrid
8,Álvaro Morata,es ESP,FW,31-196,29,21,1793.0,19.9,14.0,2.0,16.0,14.0,0.0,1.0,4.0,1.0,12.8,11.9,1.2,13.1,18.0,19.0,85.0,0.7,0.1,0.8,0.7,0.8,0.64,0.06,0.7,0.6,0.66,Matches,2024,Atletico Madrid
9,Nahuel Molina,ar ARG,DF,26-030,30,19,1852.0,20.6,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,1.3,1.3,2.9,4.2,47.0,68.0,170.0,0.1,0.15,0.24,0.1,0.24,0.06,0.14,0.2,0.06,0.2,Matches,2024,Atletico Madrid
10,Stefan Savić,me MNE,DF,33-119,21,17,1485.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,0.1,0.5,13.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2024,Atletico Madrid
11,Pablo Barrios,es ESP,MF,20-326,22,16,1481.0,16.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,1.7,2.6,36.0,92.0,47.0,0.0,0.06,0.06,0.0,0.06,0.05,0.1,0.16,0.05,0.16,Matches,2024,Atletico Madrid
12,Rodrigo Riquelme,es ESP,"DF,MF",24-034,30,16,1361.0,15.1,3.0,5.0,8.0,3.0,0.0,0.0,1.0,0.0,2.6,2.6,2.9,5.5,78.0,48.0,146.0,0.2,0.33,0.53,0.2,0.53,0.17,0.19,0.37,0.17,0.37,Matches,2024,Atletico Madrid
13,Saúl Ñíguez,es ESP,MF,29-167,32,14,1339.0,14.9,1.0,4.0,5.0,1.0,0.0,0.0,8.0,0.0,1.5,1.5,3.2,4.6,21.0,34.0,43.0,0.07,0.27,0.34,0.07,0.34,0.1,0.21,0.31,0.1,0.31,Matches,2024,Atletico Madrid
14,José María Giménez,uy URU,DF,29-107,20,12,1146.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,0.5,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,2024,Atletico Madrid
15,César Azpilicueta,es ESP,DF,34-252,21,11,1146.0,12.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,2.2,2.9,33.0,65.0,32.0,0.0,0.16,0.16,0.0,0.16,0.05,0.17,0.23,0.05,0.23,Matches,2024,Atletico Madrid
16,Ángel Correa,ar ARG,"FW,MF",29-058,28,10,1278.0,14.2,9.0,2.0,11.0,8.0,1.0,1.0,3.0,0.0,7.5,6.7,2.8,9.5,35.0,55.0,112.0,0.63,0.14,0.77,0.56,0.7,0.53,0.2,0.73,0.47,0.67,Matches,2024,Atletico Madrid
17,Memphis,nl NED,FW,30-083,20,9,842.0,9.4,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,5.7,5.7,1.8,7.4,16.0,25.0,75.0,0.53,0.11,0.64,0.53,0.64,0.6,0.19,0.8,0.6,0.8,Matches,2024,Atletico Madrid
18,Reinildo Mandava,mz MOZ,DF,30-106,12,7,673.0,7.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.6,0.9,10.0,34.0,13.0,0.13,0.13,0.27,0.13,0.27,0.05,0.08,0.12,0.05,0.12,Matches,2024,Atletico Madrid
